CODE,TITLE,TERM,CAREER,DELIVERY,STUDENT,TEACHER
COMP0001,Course COMP0001,Semester 2,Postgraduate,Blended,u0001021 u0000141 u0001882 u0000553 u0000317 u0000146 u0000718 u0001488 u0001414 u0001952 u0000054 u0001918 u0000540 u0000814 u0000081 u0000772 u0000209 u0001917 u0000629 u0000135 u0001326 u0001013 u0001650 u0001643 u0001616 u0001641 u0001672 u0000216 u0001759 u0000281 u0000798 u0001038 u0001510 u0000692 u0000633 u0001462 u0001276 u0001538 u0000800 u0001847 u0001453 u0000223 u0000706 u0001848 u0000271 u0000166 u0001368 u0001392 u0001191 u0001723 u0001652 u0001506 u0001288 u0000850 u0001132 u0001839 u0001535 u0000648 u0000867 u0000761 u0000457 u0000279 u0001565 u0001704 u0000892 u0001512 u0000765 u0000347 u0001757 u0001553 u0001964 u0001432,u0002001
LAWS0002,Course LAWS0002,Semester 1,Postgraduate,On Campus,u0001985 u0001716 u0000818 u0000963 u0000229 u0001934 u0001855 u0001376 u0001526 u0000010 u0001717 u0001670 u0000652 u0000207 u0000058 u0000223 u0000767 u0001315 u0001443 u0000422 u0001146 u0000467 u0001929 u0001482 u0001882 u0000221 u0001500 u0001280 u0001085 u0000843 u0001576 u0001199 u0000519 u0000516 u0001651 u0001368 u0000499 u0001425 u0000026 u0000316 u0001845 u0001584 u0000500 u0001385 u0000797 u0000985 u0000285 u0000813 u0000894 u0000276 u0001796 u0000701 u0001410 u0001514 u0000415 u0000123 u0001914 u0001506 u0001984 u0000783 u0001136 u0000699 u0001487 u0000191 u0001628 u0001169 u0001865 u0001942 u0001111 u0000939 u0000581 u0001259 u0000914 u0000240 u0000247 u0000308 u0000487 u0000619 u0001572 u0001072 u0000298 u0000082 u0000192,u0002002
CBEA0003,Course CBEA0003,Autumn,Postgraduate,Online,u0001330 u0000334 u0001800 u0001750 u0001515 u0001283 u0000623 u0000876 u0000199 u0001484 u0000805 u0001842 u0000946 u0001535 u0001065 u0001018 u0001821 u0001336 u0001095 u0000105 u0001898 u0000871 u0001344 u0001223 u0001562 u0000599 u0001340 u0000120 u0000006 u0000792 u0001307 u0001126 u0001553 u0001021 u0001668 u0001639 u0000089 u0000032 u0000797 u0001383 u0000249 u0000047 u0000344 u0000661 u0000565 u0000888 u0001864 u0001287 u0001215 u0001871 u0000753 u0000110 u0001738 u0001588 u0000060 u0001141 u0000129 u0001362 u0001255 u0001024 u0000274 u0000793 u0001311 u0000477 u0000669 u0000068 u0000569 u0000075 u0000410 u0001111 u0000100 u0000444 u0000265 u0001567 u0001460 u0000204 u0001180 u0000432 u0001556 u0001933 u0000231 u0000082 u0001193,u0002003
HIST0004,Course HIST0004,Winter,Postgraduate,Online,u0000906 u0000757 u0001952 u0001950 u0000345 u0000787 u0001343 u0001401 u0000582 u0000991 u0000244 u0001934 u0001387 u0001358 u0000122 u0000454 u0001828 u0001747 u0000092 u0001967 u0001009 u0001038 u0001655 u0001102 u0001115 u0001811 u0000372 u0001733 u0000547 u0000581 u0000090 u0000131 u0001793 u0000023 u0001535 u0000801 u0001568 u0001905 u0000587 u0000322 u0000009 u0000119 u0000057 u0001849 u0000015 u0001516 u0001255 u0000338,u0002004
COMP0005,Course COMP0005,Winter,Postgraduate,On Campus,u0000458 u0000299 u0001582 u0000195 u0001825 u0000582 u0000235 u0001692 u0000523 u0001356 u0000712 u0000547 u0001988 u0000568 u0001222 u0000034 u0000015 u0000317 u0001769 u0000266 u0000473 u0001007 u0000209 u0001099 u0000889 u0000515 u0000392 u0000324 u0001498 u0000663 u0000445 u0001245 u0001154 u0000742 u0000294 u0000246 u0001185 u0000508 u0001707 u0001815 u0000561 u0000628 u0000290 u0001014 u0000727 u0001073 u0000366 u0001431 u0000474 u0001616 u0000927 u0001619 u0001705 u0001853 u0001783 u0000331 u0001118 u0001298 u0001075 u0001204 u0000594 u0000130 u0000699 u0001862 u0000159 u0001056 u0000675 u0001478 u0001784 u0000033 u0000590 u0000352 u0001635 u0000329 u0000222 u0000756 u0001939 u0000941 u0001958 u0000080 u0000907,u0002005
ENGN0006,Course ENGN0006,Spring,Postgraduate,Online,u0001021 u0001735 u0001813 u0000990 u0000359 u0000126 u0001784 u0000540 u0001465 u0000909 u0001119 u0001676 u0000584 u0000476 u0001369 u0001900 u0000273 u0000280 u0001819 u0000200 u0001963 u0000005 u0000356 u0000111 u0001995 u0001878 u0000902 u0000472 u0000316 u0000114,u0002006
MGMT0007,Course MGMT0007,Semester 1,Postgraduate,On Campus,u0000022 u0001810 u0000963 u0000189 u0001486 u0001552 u0000660 u0000135 u0000531 u0001934 u0000341 u0001374 u0000580 u0001846 u0001860 u0001269 u0000391 u0000765 u0001242 u0000710 u0001166 u0000225 u0000168 u0000463 u0000843 u0000091 u0001909 u0000050 u0000685 u0001915 u0001691 u0001525 u0001954 u0000396 u0000252 u0000025 u0000322 u0000119 u0000079 u0001553 u0001365 u0001278 u0000345 u0000799 u0000928 u0000956 u0001219 u0001382 u0000624 u0000869 u0001322 u0000966 u0001871 u0000701 u0001730 u0001718 u0001783 u0001523 u0000719 u0001298 u0001738 u0001075 u0000684 u0001955 u0000789 u0001511 u0000062 u0001308 u0000501 u0000538 u0000296 u0001695 u0001819 u0000156 u0001390 u0000279 u0000670 u0001193 u0000401,u0002007
COMP0008,Course COMP0008,Winter,Undergraduate,Online,u0001976 u0000884 u0000953 u0000036 u0000841 u0000452 u0000032 u0001153 u0000033 u0001293 u0000195 u0000658 u0001407 u0000566 u0000153 u0000384 u0001780 u0000329 u0001643 u0001501 u0001358 u0001334 u0001540 u0001709 u0000756 u0000622 u0001672 u0000281 u0001451 u0000364 u0001140 u0001116 u0000495 u0000181 u0000444 u0000090 u0000831 u0000111 u0001191 u0001461 u0000863 u0001275 u0000961 u0001795 u0001091 u0001821 u0000129 u0000272 u0001893 u0000212 u0001165 u0001472 u0001101 u0001421,u0002008
MGMT0009,Course MGMT0009,Semester 1,Postgraduate,Blended,u0001338 u0000022 u0000395 u0000841 u0001041 u0001992 u0001550 u0000582 u0000909 u0000228 u0001282 u0001463 u0000821 u0000754 u0000224 u0000618 u0001342 u0001717 u0000349 u0000655 u0000819 u0001723 u0000348 u0001065 u0000403 u0001256 u0000877 u0000346 u0000262 u0001892 u0000144 u0000439 u0000092 u0000445 u0000542 u0001249 u0001142 u0000503 u0001174 u0000826 u0000069 u0000026 u0000119 u0001773 u0000955 u0000212 u0001949 u0001721 u0001421 u0001845 u0000691 u0001299 u0001388 u0001559 u0001579 u0001796 u0001406 u0001027 u0000005 u0000111 u0000361 u0001055 u0000095 u0000783 u0000239 u0000559 u0001849 u0001991 u0000916 u0001024 u0000434 u0001578 u0000365 u0000997 u0001104 u0000785 u0000475 u0000066 u0000743 u0000330 u0000240 u0000311 u0001854 u0000204 u0001620 u0001901 u0001987 u0000335 u0000616 u0000269,u0002009
COMP0010,Course COMP0010,Semester 1,Undergraduate,Online,u0000458 u0000757 u0000691 u0001622 u0000879 u0001225 u0001814 u0001822 u0000054 u0000038 u0000597 u0000113 u0001268 u0001388 u0000209 u0000174 u0001509 u0000471 u0001545 u0000341 u0001387 u0000439 u0000687 u0000201 u0001805 u0001715 u0000618 u0001671 u0000806 u0000631 u0001064 u0001811 u0000939 u0000853 u0001201 u0001321 u0001218 u0000433 u0001068 u0000370 u0001158 u0001853 u0001963 u0001331 u0001922 u0001648 u0001854 u0000524 u0000781 u0001086 u0001144 u0001753 u0001529 u0001071 u0000559 u0000130 u0001623 u0001527 u0001059 u0001435 u0001210 u0001658,u0002010
